"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"CYB5R1",3049.72289959514,0.784293244571603,0.167031505763882,1.49238590447414e-07,1.79597215423113e-05
"LEPROTL1",798.724167524362,0.421197546563879,0.0862603824853282,1.52878209457845e-07,1.82334564458741e-05
"SLC23A2",2310.48355432457,-0.888998728082024,0.186439340898579,1.54753794889932e-07,1.82938158596434e-05
"PLOD2",1404.29882331073,1.43938561158841,0.316999173133858,1.61089663814272e-07,1.88757520107987e-05
"SLCO2A1",2380.14994025928,1.1262760705522,0.246428424228704,1.75157334561616e-07,2.03456667397744e-05
"CDC5L",943.724609129799,0.380786915261316,0.0779573936395346,1.82136586036925e-07,2.07027248649723e-05
"OR51B5",16.2868559113894,-2.95795302687241,0.620331952186523,1.81234642183942e-07,2.07027248649723e-05
"UBQLN4",185.596465886092,-0.531835066138973,0.110739640504726,1.82880785601642e-07,2.07027248649723e-05
"BCL6",999.883081408543,1.36695306847577,0.303585265873238,2.00332662258726e-07,2.24877622054795e-05
"ANG",21.6261069723143,1.88013771153771,0.410629409021336,2.02969842270088e-07,2.25749212651932e-05
"WDR86-AS1",186.471316113447,2.25713359493297,0.512348267065144,2.04489105636202e-07,2.25749212651932e-05
"S100A6",2414.451232342,1.03130613576087,0.225934302978785,2.09040919523506e-07,2.28882672376639e-05
"MORC4",2931.1699574459,-0.603697971931825,0.12743882495637,2.35613850780173e-07,2.55880473066793e-05
"ASPHD2",42.5399551645605,3.219512811127,0.742545375231099,2.68136053959885e-07,2.84266778475885e-05
"CADM3",255.372927636261,-2.1589933920427,0.460808484006041,2.66282483599976e-07,2.84266778475885e-05
"YPEL4",32.1833494441278,1.72679366102137,0.383061010948058,2.67544289920037e-07,2.84266778475885e-05
"ZBTB20",986.77949868667,-0.693350036571847,0.148141095318593,2.72361310668841e-07,2.86472628969636e-05
"ADIPOR2",709.881807955367,0.39338318477943,0.0823733717445427,2.89449340745825e-07,2.99725914238971e-05
"ERP29",856.524571589008,0.55841265777897,0.120069548542279,2.88049789496897e-07,2.99725914238971e-05
"ATG12",707.745440116818,0.499342951041829,0.10667252008897,3.00070285931037e-07,3.08333759958984e-05
"CYP2J2",426.207757393097,1.06380756806109,0.237275350083884,3.03483199537526e-07,3.09460196902464e-05
"TET2",1355.44772428444,-0.392811854325462,0.0819591468478373,3.10035948272866e-07,3.13746984623405e-05
"GSK3B",1345.03974691303,-0.408021431979698,0.085522926057395,3.24286537919151e-07,3.23270117427165e-05
"PADI1",73.4915006542948,4.19043932598263,1.00399311654073,3.24257611090681e-07,3.23270117427165e-05
"AQP1",369.676207425613,1.95107571753699,0.450794484235235,3.30815832075594e-07,3.27336139619688e-05
"CNPY2",817.970080133981,0.663836964171101,0.145415860700614,3.3469853464641e-07,3.28742869544614e-05
"G3BP2",1578.84317829385,0.43808607515703,0.0935815375183271,3.71193076367428e-07,3.61926796650811e-05
"SMARCD1",370.495927158089,-0.404959589492452,0.0856687320187254,3.88151398056226e-07,3.75719302553265e-05
"PREP",417.00721235464,0.68125720756629,0.150557712953279,3.93643733628911e-07,3.78294459986691e-05
"GAPDH",4744.36364641613,1.24505766534905,0.284396384955729,4.02246458778605e-07,3.81078595486852e-05
"GDI2",1678.84139672982,0.466821894131819,0.100564258089894,4.00527862257167e-07,3.81078595486852e-05
"CP",166.875008168067,2.95218635792361,0.704984386542536,4.11274664723291e-07,3.85579451381361e-05
"DUSP1",6451.37137392764,1.08209840915305,0.245047177894512,4.13595721596893e-07,3.85579451381361e-05
"ERO1A",1497.88341914412,1.21832050179021,0.279069044626342,4.15656842333553e-07,3.85579451381361e-05
"ABCA12",242.766631315454,1.90387479620587,0.445215417276709,4.24914577612979e-07,3.91448891569253e-05
"ADAMTS3",179.235203117067,-1.31323360499415,0.290434093044055,4.68034810310933e-07,4.2796186634726e-05
"ARRDC3",7090.4775093843,1.14561232940167,0.262693390068107,4.7095668777547e-07,4.2796186634726e-05
"LAMC1",6867.0353157848,-0.485986198285595,0.104717165157,4.78282207887852e-07,4.31682008984184e-05
"GPT2",336.159508508643,1.5549743963255,0.363190339930739,4.9159964305407e-07,4.40724028987669e-05
