"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"CX3CR1",40.6534080290035,-1.60049918675477,0.575667608090461,0.000352929812274281,0.00663071228180006
"NOTUM",2258.81718175328,1.96607860824773,0.948257697174607,0.00040522403291951,0.00734461686803095
"RNF150",19.5780521878022,-1.02051391221171,0.381220229911817,0.000414135357647097,0.00745555270545812
"NPNT",290.0088849686,1.52479871995429,0.707362648501722,0.000461247250400993,0.00815228849099038
"PORCN",35.585908045492,1.34324414675426,0.583829793901017,0.000461381202215057,0.00815228849099038
"NOX5",33.118640201213,-1.20428022747454,0.453718823603784,0.000463678258336507,0.00817125880588267
"FAM3B",254.774379227881,1.05794242215414,0.452048965782273,0.000472615494247109,0.00825254610738938
"PAEP",52.5214781876708,3.52785279786446,2.59303649103202,0.000479830636220486,0.00833495141564792
"SLC9C2",7.25002601274662,1.67374147902955,0.647829832149508,0.000506166578594141,0.00867955475848593
"RASAL1",29.319724662184,1.29013105203377,0.57477056358504,0.000553849081339904,0.00929436687002316
"PRG2",16800.6628419528,2.26701836433718,1.27936239416739,0.00056463231882127,0.00939272542318123
"PFKP",206.55791148781,1.51312829781425,0.745504353225924,0.000594216672065443,0.00975128538753094
"GABRB1",21.629243562272,-1.62370692402666,0.631049590082813,0.000609987991938372,0.00996114865074912
"GPR32",17.7041963013074,2.31993254399287,1.18236916364034,0.000616438840812108,0.0100297077168918
"NOS2",17.1772961747309,1.92314543279823,0.942880141707548,0.000630569979671491,0.0101742351078141
"AOC1",9335.7143465346,1.4706851157804,0.727299303707694,0.00066231933189458,0.010548442041991
"RAB39A",33.5027389488889,-1.03243196283802,0.410487400193534,0.000676873313231855,0.0107138432904698
"IGFBP1",26.2831380959781,7.01076610073909,0.970367774358823,0.000692180208938528,0.0108778155658834
"TBC1D26",9.28952805507381,1.72278041067689,0.758780883923489,0.000710287818116417,0.0110384105608144
"CLDN19",183.348898652872,1.33716446277722,0.68225359809881,0.000774322072216599,0.0117733739850818
"CXCR6",137.243525224281,1.27951976536209,0.644421268897833,0.000790213460813872,0.0119289590724968
"AMZ1",21.293285704732,1.64545655610378,0.840572462510906,0.000797263108471734,0.0119754410721876
"PIPOX",39.0099242659227,1.73176665392243,0.95060456919898,0.000808476361899638,0.0120531554043029
"TNNI2",35.5823657837284,1.67736801199857,0.909736709995169,0.000832059297536146,0.0122813791121413
"RGS6",37.311297129939,-1.06569478369692,0.446622669334269,0.000919879386671493,0.013122101887303
"RGS4",12.3442927416437,3.04724177889618,1.81956229916261,0.000932971839478275,0.0132722447622479
"DNAH2",82.4895695583966,-1.11798128713656,0.469385948139457,0.000982043579202197,0.0137650977240115
"CRYGN",12.808533349407,1.33072961628856,0.649724766447149,0.00102902116610362,0.0142613203153227
"CRLF1",57.6843508997479,1.214446896859,0.64467291748627,0.00106028738746514,0.0145563401045831
"LTF",185.865503619226,2.15101701765572,3.63379779296843,0.00111216962759714,0.0150979287453685
"LONRF2",68.1673514105236,-1.10080995631961,0.472982410489052,0.00112280938756903,0.015180655667153
"NBPF13P",22.0165945360845,1.89029100498559,1.22694828614145,0.00113537404251789,0.0152812478755061
"TMEM132B",19.5818957723062,1.74478248606189,1.02094941734569,0.00115548542173546,0.0154504246882305
"ANKRD20A5P",117.810376267364,-1.14883964550367,0.496090581971217,0.00116879298985665,0.0155505346200251
"SPINK1",7.33025178168655,2.69825453299333,1.33071679863897,0.00118915736435236,0.0156809122142338
"VWCE",168.042738159958,1.11591042173103,0.610913980421988,0.00118694255105054,0.0156809122142338
"SFRP1",472.805494875007,1.50206573123749,0.972769021323405,0.00120483142484512,0.015809565985345
"HCAR1",34.619690989889,1.30898128962534,0.73770581679661,0.00120715288207509,0.0158244830213533
"DDIT4L",50.191438093902,1.15107114659758,0.626798282831022,0.00122796816667414,0.016034407400228
"ASMT",6.98723148731366,-1.06145111248716,0.49292369604234,0.00124888455496023,0.0162282100050182
"POMC",15.6100286149732,1.68193499333112,1.01295676367828,0.00133659228767848,0.0170956447615667
"KHDRBS3",18.5578657079074,1.02114376363807,0.509122178023725,0.00134165942645979,0.0171173702183858
"TCL1B",52.7095790754993,1.07144306121202,0.590296385273709,0.00136608809119067,0.0173792425924999
"SIGLEC6",3888.51372427351,1.15617452081034,0.679322562948715,0.00137191720443502,0.0174367935459972
"CLDN1",647.89075976475,-1.5809382277196,0.704973530588869,0.001452879178915,0.0181889035350952
"FAT2",237.344721766484,1.63426587721606,1.47354899843711,0.00153192547621878,0.0190039221618517
"NR5A2",11.3307267942238,1.23473536529336,0.652703613266238,0.00159520451507789,0.0195493045067986
"MYCNUT",22.0602770929305,1.64653821421261,1.28790162709376,0.0017617607443794,0.0209933987720071
"STK31",30.5548568984623,-1.064459543065,0.507254930036376,0.00180240557242545,0.0213165107899082
"EPHB6",179.699796295251,-1.14348493217232,0.541087594193103,0.00185297728090658,0.0217123425599562
"SCARA5",25.5123479766698,2.6794263324739,0.550017946121806,0.00203857798632333,0.0232945463997493
"GUCY2EP",9.82045881549787,1.7628300302526,1.22051765634738,0.00207240423303664,0.0235299551051414
"CYP4F35P",17.3121963267572,-1.30862354927929,0.645422813778029,0.00211719315069181,0.0239065647565015
"KLHDC7B",7.82099844592091,-1.46654351992681,0.743584280006438,0.0021556193393388,0.0241972799452837
"GNG4",23.2106119298341,1.48896786545665,1.43464388676366,0.0021724244164073,0.0243245979500157
"OXGR1",21.8499578795147,1.43220751800334,1.32809310432896,0.00229970774769354,0.0252830642432029
